County,Region,Year,Race,Age 65 Plus,Total
Orange,Central North Carolina,2025.0,White,22177.0,112592.0
Franklin,Central North Carolina,2025.0,Black,3285.0,18920.0
,,,,,
"36.136""",Projection,,,,
Johnston,Eastern North Carolina,2025.0,Other,769.0,12060.0
,,,,,
Projection,2024,,,,
Mecklenburg,Central North Carolina,2025.0,Black,41154.0,362041.0
Lee,Central North Carolina,2025.0,Other,168.0,3285.0
Alleghany,Western North Carolina,2025.0,White,3226.0,10956.0
Iredell,Western North Carolina,2025.0,Asian & Pacific Islander,829.0,6302.0
New Hanover,Eastern North Carolina,2025.0,Other,1232.0,10494.0
Pender,Eastern North Carolina,2025.0,Black,1294.0,7967.0
,,,,,
Projection,2024,,,,
Onslow,Eastern North Carolina,2025.0,Asian & Pacific Islander,844.0,6955.0
,,,,,
Projection,2024,,,,
Warren,Central North Carolina,2025.0,American Indian / Alaska Native,243.0,1016.0
Washington,Eastern North Carolina,2025.0,White,1803.0,4968.0
Anson,Central North Carolina,2025.0,Black,1590.0,9816.0
Surry,Western North Carolina,2025.0,White,14391.0,65078.0
Polk,Western North Carolina,2025.0,White,6219.0,18012.0
Union,Central North Carolina,2025.0,Black,3934.0,32243.0
Wilkes,Western North Carolina,2025.0,White,14433.0,60166.0
,,,,,
Projection,2024,,,,
Pamlico,Eastern North Carolina,2025.0,White,3495.0,10092.0
Pasquotank,Eastern North Carolina,2025.0,Black,2288.0,14610.0
,,,,,
Projection,2024,,,,
Pender,Eastern North Carolina,2025.0,Other,464.0,3345.0
,,,,,
Projection,2024,,,,
Haywood,Western North Carolina,2025.0,American Indian / Alaska Native,130.0,503.0
,,,,,
Projection,2024,,,,
Alexander,Western North Carolina,2025.0,Other,229.0,1441.0
Caldwell,Western North Carolina,2025.0,Black,767.0,4269.0
Catawba,Western North Carolina,2025.0,Asian & Pacific Islander,968.0,8691.0
Burke,Western North Carolina,2025.0,Asian & Pacific Islander,204.0,3411.0
,,,,,
"35.""",Projection,,,,
Randolph,Central North Carolina,2025.0,Black,1773.0,10449.0
Buncombe,Western North Carolina,2025.0,Black,2921.0,16704.0
,,,,,
"3""",Projection,,,,
Vance,Central North Carolina,2025.0,Black,3519.0,21166.0
Gaston,Western North Carolina,2025.0,Other,1229.0,12620.0
Caldwell,Western North Carolina,2025.0,White,16363.0,72950.0
Cleveland,Western North Carolina,2025.0,American Indian / Alaska Native,81.0,461.0
Currituck,Eastern North Carolina,2025.0,White,5761.0,28753.0
Montgomery,Central North Carolina,2025.0,Other,20.0,849.0
Harnett,Eastern North Carolina,2025.0,American Indian / Alaska Native,194.0,2049.0
,,,,,
"[-79.""",Projection,,,,
Buncombe,Western North Carolina,2025.0,American Indian / Alaska Native,535.0,2556.0
,,,,,
"3""",Projection,,,,
Chatham,Central North Carolina,2025.0,White,19591.0,68564.0
Macon,Western North Carolina,2025.0,Black,51.0,405.0
,,,,,
Projection,2024,,,,
Person,Central North Carolina,2025.0,Black,1950.0,9948.0
Moore,Central North Carolina,2025.0,White,24465.0,92622.0
,,,,,
Projection,2024,,,,
Yancey,Western North Carolina,2025.0,White,5013.0,17467.0
,,,,,
"35.""",Projection,,,,
Halifax,Eastern North Carolina,2025.0,American Indian / Alaska Native,344.0,1638.0
,,,,,
Projection,2024,,,,
Pender,Eastern North Carolina,2025.0,White,12057.0,57627.0
,,,,,
Projection,2024,,,,
Lee,Central North Carolina,2025.0,American Indian / Alaska Native,211.0,1303.0
Montgomery,Central North Carolina,2025.0,American Indian / Alaska Native,61.0,368.0
Catawba,Western North Carolina,2025.0,Other,1323.0,8806.0
Duplin,Eastern North Carolina,2025.0,Asian & Pacific Islander,0.0,302.0
Jackson,Western North Carolina,2025.0,White,8604.0,36609.0
,,,,,
"35.172""",Projection,,,,
Northampton,Eastern North Carolina,2025.0,Other,244.0,672.0
,,,,,
Projection,2024,,,,
Orange,Central North Carolina,2025.0,Black,2845.0,16855.0
Mecklenburg,Central North Carolina,2025.0,Other,926.0,46926.0
Pitt,Eastern North Carolina,2025.0,Asian & Pacific Islander,379.0,3526.0
,,,,,
"35.50""",Projection,,,,
Richmond,Central North Carolina,2025.0,American Indian / Alaska Native,136.0,1088.0
,,,,,
Projection,2024,,,,
Gates,Eastern North Carolina,2025.0,White,1636.0,6903.0
Lincoln,Western North Carolina,2025.0,Asian & Pacific Islander,187.0,1069.0
Macon,Western North Carolina,2025.0,White,11359.0,35996.0
,,,,,
Projection,2024,,,,
Macon,Western North Carolina,2025.0,Other,283.0,1575.0
,,,,,
Projection,2024,,,,
Richmond,Central North Carolina,2025.0,White,5559.0,25150.0
,,,,,
