County,Region,Year,Race,Age 65 Plus,Total
Duplin,Eastern North Carolina,2025,Asian & Pacific Islander,0,302
Jackson,Western North Carolina,2025,White,8604,36609
Northampton,Eastern North Carolina,2025,Other,244,672
Orange,Central North Carolina,2025,Black,2845,16855
Mecklenburg,Central North Carolina,2025,Other,926,46926
Pitt,Eastern North Carolina,2025,Asian & Pacific Islander,379,3526
Richmond,Central North Carolina,2025,American Indian / Alaska Native,136,1088
Gates,Eastern North Carolina,2025,White,1636,6903
Lincoln,Western North Carolina,2025,Asian & Pacific Islander,187,1069
Macon,Western North Carolina,2025,White,11359,35996
Macon,Western North Carolina,2025,Other,283,1575
Richmond,Central North Carolina,2025,White,5559,25150
Rockingham,Central North Carolina,2025,Black,3463,17213
Chatham,Central North Carolina,2025,Other,511,3673
Buncombe,Western North Carolina,2025,Asian & Pacific Islander,828,4696
Cumberland,Eastern North Carolina,2025,Asian & Pacific Islander,1857,12285
Currituck,Eastern North Carolina,2025,Black,317,1526
Yadkin,Western North Carolina,2025,Asian & Pacific Islander,41,255
Duplin,Eastern North Carolina,2025,White,7483,35074
Polk,Western North Carolina,2025,Other,244,1117
Rutherford,Western North Carolina,2025,Asian & Pacific Islander,123,436
Nash,Eastern North Carolina,2025,Asian & Pacific Islander,199,1177
Nash,Eastern North Carolina,2025,Other,326,3342
Pasquotank,Eastern North Carolina,2025,Other,233,1932
Rockingham,Central North Carolina,2025,American Indian / Alaska Native,131,801
Wake,Central North Carolina,2025,American Indian / Alaska Native,833,11586
Cleveland,Western North Carolina,2025,Black,3396,20660
Alamance,Central North Carolina,2025,American Indian / Alaska Native,292,2913
Forsyth,Central North Carolina,2025,American Indian / Alaska Native,473,5899
Bertie,Eastern North Carolina,2025,Other,143,655
Currituck,Eastern North Carolina,2025,Other,313,2180
Dare,Eastern North Carolina,2025,Black,134,761
Dare,Eastern North Carolina,2025,Other,157,1309
Johnston,Eastern North Carolina,2025,Black,5929,43203
Harnett,Eastern North Carolina,2025,Black,4515,32252
Wilkes,Western North Carolina,2025,Asian & Pacific Islander,76,460
Davie,Central North Carolina,2025,Asian & Pacific Islander,67,378
Warren,Central North Carolina,2025,Other,195,763
Granville,Central North Carolina,2025,Asian & Pacific Islander,81,580
Martin,Eastern North Carolina,2025,Other,106,917
Sampson,Eastern North Carolina,2025,Black,3433,14388
Stokes,Central North Carolina,2025,White,10008,41884
Davidson,Central North Carolina,2025,Black,3178,18733
Person,Central North Carolina,2025,White,6540,27511
Wayne,Eastern North Carolina,2025,White,14168,72375
Wilson,Eastern North Carolina,2025,White,10166,42876
Vance,Central North Carolina,2025,Asian & Pacific Islander,63,382
Warren,Central North Carolina,2025,Black,1837,9181
Wilson,Eastern North Carolina,2025,Asian & Pacific Islander,212,1208
Graham,Western North Carolina,2025,American Indian / Alaska Native,56,614
Edgecombe,Eastern North Carolina,2025,White,4771,19308
Swain,Western North Carolina,2025,American Indian / Alaska Native,422,4102
Moore,Central North Carolina,2025,Asian & Pacific Islander,363,1759
New Hanover,Eastern North Carolina,2025,White,44532,200125
Watauga,Western North Carolina,2025,Black,239,2633
Johnston,Eastern North Carolina,2025,American Indian / Alaska Native,529,4180
Beaufort,Eastern North Carolina,2025,White,9179,31948
Mecklenburg,Central North Carolina,2025,Asian & Pacific Islander,7854,87007
Mitchell,Western North Carolina,2025,White,3845,13736
Rutherford,Western North Carolina,2025,Black,876,5883
Craven,Eastern North Carolina,2025,Asian & Pacific Islander,748,3981
Sampson,Eastern North Carolina,2025,American Indian / Alaska Native,197,1831
Burke,Western North Carolina,2025,American Indian / Alaska Native,377,2179
Forsyth,Central North Carolina,2025,Asian & Pacific Islander,1296,11799
Rockingham,Central North Carolina,2025,Other,448,3707
Greene,Eastern North Carolina,2025,American Indian / Alaska Native,17,260
Brunswick,Eastern North Carolina,2025,Other,2262,6797
Columbus,Eastern North Carolina,2025,Black,2901,13674
Caswell,Central North Carolina,2025,Black,1712,6450
Granville,Central North Carolina,2025,American Indian / Alaska Native,129,782
Halifax,Eastern North Carolina,2025,Black,5097,23065
Haywood,Western North Carolina,2025,Other,589,2789
Union,Central North Carolina,2025,American Indian / Alaska Native,326,3050
Iredell,Western North Carolina,2025,Other,933,9493
Wilkes,Western North Carolina,2025,American Indian / Alaska Native,152,526
Mitchell,Western North Carolina,2025,Other,79,905
Richmond,Central North Carolina,2025,Black,1948,12452
Pitt,Eastern North Carolina,2025,Other,550,7531
Warren,Central North Carolina,2025,White,2992,7741
Gaston,Western North Carolina,2025,American Indian / Alaska Native,394,2372
Scotland,Eastern North Carolina,2025,Other,116,1824
Sampson,Eastern North Carolina,2025,Other,3,2347
Scotland,Eastern North Carolina,2025,Asian & Pacific Islander,61,443
Tyrrell,Eastern North Carolina,2025,Other,31,176
Wake,Central North Carolina,2025,White,133223,826616
Moore,Central North Carolina,2025,American Indian / Alaska Native,261,1356
Wilkes,Western North Carolina,2025,Black,610,2919
Durham,Central North Carolina,2025,Asian & Pacific Islander,2115,19899
Vance,Central North Carolina,2025,Other,57,1312
Henderson,Western North Carolina,2025,White,31745,109905
Swain,Western North Carolina,2025,Other,121,896
Wilkes,Western North Carolina,2025,Other,371,2442
Yadkin,Western North Carolina,2025,Other,133,1426
Randolph,Central North Carolina,2025,White,25663,126802
Randolph,Central North Carolina,2025,Other,559,6459
Scotland,Eastern North Carolina,2025,American Indian / Alaska Native,360,3533
Stokes,Central North Carolina,2025,Black,458,1706
Stanly,Central North Carolina,2025,White,11027,53154
Surry,Western North Carolina,2025,Other,310,2568
Watauga,Western North Carolina,2025,American Indian / Alaska Native,44,338
Robeson,Eastern North Carolina,2025,American Indian / Alaska Native,6304,45320
Surry,Western North Carolina,2025,American Indian / Alaska Native,178,766
Sampson,Eastern North Carolina,2025,Asian & Pacific Islander,59,463
Watauga,Western North Carolina,2025,Asian & Pacific Islander,130,1569
Yadkin,Western North Carolina,2025,White,7706,34099
Rutherford,Western North Carolina,2025,American Indian / Alaska Native,118,471
Scotland,Eastern North Carolina,2025,Black,2212,13066
Union,Central North Carolina,2025,Other,639,11811
Wilson,Eastern North Carolina,2025,Black,4772,30314
Cabarrus,Central North Carolina,2025,Black,5360,50632
Chatham,Central North Carolina,2025,American Indian / Alaska Native,99,928
Caldwell,Western North Carolina,2025,Asian & Pacific Islander,97,691
Hyde,Eastern North Carolina,2025,Black,293,1125
Pitt,Eastern North Carolina,2025,Black,8576,65899
Wake,Central North Carolina,2025,Asian & Pacific Islander,12371,126357
Rowan,Central North Carolina,2025,Black,3659,25182
